#Gametypes Table,,,,,,
a0,b1,c2,d3,e4,f5,g6
7,sab,MPUI_LB_SABOTAGE_CAPS,MPUI_SABOTAGE_CAPS,,4,
8,hctdm,MPUI_LB_TEAM_DEATHMATCH_HC_CAPS,MPUI_HCTDM_CAPS,,8,
9,hcdm,MPUI_LB_FFA_HC_CAPS,MPUI_HCDM_CAPS,,9,
10,hcsd,MPUI_LB_SEARCH_AND_DESTROY_HC_CAPS,MPUI_HCSD_CAPS,,13,
,,,,,,
,,,,,,
#Leaderboard reset period names,,,,,,
#lb_typeByResetPeriod ref,#resetperiod names,#index,,,,
all_time,MPUI_LB_ALL_TIME_CAPS,0,,,,
monthly,MPUI_LB_MONTHLY_CAPS,1,,,,
weekly,MPUI_LB_WEEKLY_CAPS,2,,,,
,,,,,,
,,,,,,
#Leaderboard filter names,,,,,,
#lb_filter ref,#filter names,#index,,,,
none,MPUI_LB_EVERYONE_CAPS,0,,,,
friends,MPUI_LB_FRIENDS_ONLY_CAPS,1,,,,
lobbymembers,MPUI_LB_PLAYERS_IN_LOBBY_CAPS,2,,,,
